-,SSPP,APhilA,WPhilA,APsychA
Abbott.AH,0,0,0,1
Adler.DF,0,1,0,0
Aikins.HA,0,1,0,1
Albee.E,0,1,0,1
Alexander.A,0,0,0,1
Allin.A,0,0,1,0
Andrews.EB,0,0,1,0
Angell.JR,0,0,0,1
Armstrong.AC,0,1,0,1
Arnett.LD,1,0,0,0
Baird.JW,1,0,0,0
Bakewell.CM,0,0,0,1
Baldwin.JM,1,1,0,1
Bawden.HH,0,1,1,0
Bergstrum.JA,0,0,0,1
Bierly.HE,1,0,0,0
Bigham.J,0,0,0,1
Bliss.CB,0,0,0,1
Boas.F,0,0,0,1
Bolton.TL,0,0,1,0
Boyd.DR,0,0,1,0
Brandt.FB,0,0,0,1
Brown.JR,0,0,1,0
Bryan.WL,0,1,0,1
Bryant.WM,0,0,1,0
Buchner.EF,1,1,0,1
Burnham.WH,0,0,0,1
Butler.NM,0,1,0,1
Caldwell.W,0,1,0,1
Calkins.MW,0,1,0,1
Campbell.G,0,1,0,0
Cattell.JM,0,1,0,1
Chrysostom.B,0,1,0,1
Churchill.W,0,1,0,0
Coe.GA,0,1,0,0
Cowles.E,0,0,0,1
Craighead.EB,0,0,1,0
Cranford.WI,1,0,0,0
Crawford.JF,0,0,0,1
Creighton.JE,0,1,0,1
Curtis.MM,0,1,0,1
Cutler.AA,0,1,0,0
Dana.CL,0,0,0,1
Davies.H,0,1,0,1
Davis.NK,1,0,0,0
Davis.WH,0,1,0,1
Dearborn.GVN,0,0,0,1
DeGarmo.C,0,0,0,1
Delabarre.EB,0,0,0,1
Denny.CV,1,0,0,0
Dewey.J,0,1,0,1
Dodge.RP,0,1,0,1
Dolson.GN,0,1,0,0
Donaldson.HH,0,0,0,1
Duncan.GM,0,1,0,1
Ellis.AC,1,0,0,0
Ellis.FW,0,0,1,0
Elwood.CA,0,0,1,0
Everett.WG,0,1,0,1
Farrand.L,0,0,0,1
Fairbanks.A,0,0,1,0
Farrar.CB,1,0,0,0
Fite.W,0,1,0,1
Flinn.JW,1,0,0,0
Franklin.CL,1,1,0,1
Franz.SI,0,0,0,1
French.FC,0,1,0,1
Fruit.JP,0,0,1,0
Fuller.HT,0,0,1,0
Fullerton.GS,0,1,0,1
Furry.WD,1,0,0,0
Gamble.EAM,0,0,0,1
Gardiner.HN,0,1,0,1
Germann.GB,0,0,0,1
Gillett.AL,0,1,0,0
Gilman.BI,0,0,0,1
Gordy.JP,0,1,0,0
